Date,Prices,Buy,Sell
2023-07-30,195.56591796875,1.0,1.0
2023-07-31,195.56591796875,1.0,1.0
2023-08-01,196.18507385253903,1.0,1.0
2023-08-02,195.34620666503903,1.0,1.0
2023-08-03,192.3202972412109,1.0,1.0
2023-08-04,190.9122009277344,1.0,1.0
2023-08-05,181.7445831298828,1.0,1.0
2023-08-06,181.7445831298828,1.0,1.0
2023-08-07,181.7445831298828,1.0,1.0
2023-08-08,178.6088104248047,1.0,1.0
2023-08-09,179.55752563476562,1.0,1.0
2023-08-10,177.94970703125,1.0,1.0
2023-08-11,177.72999572753906,1.0,1.0
2023-08-12,177.7899932861328,1.0,1.0
2023-08-13,177.7899932861328,1.0,1.0
2023-08-14,177.7899932861328,1.0,1.0
2023-08-15,179.4600067138672,1.0,1.0
2023-08-16,177.4499969482422,1.0,1.0
2023-08-17,176.57000732421875,1.0,1.0
2023-08-18,174.0,1.0,1.0
2023-08-19,174.49000549316406,0.0,1.0
2023-08-20,174.49000549316406,0.0,1.0
2023-08-21,174.49000549316406,0.0,1.0
2023-08-22,175.83999633789062,1.0,1.0
2023-08-23,177.22999572753906,1.0,1.0
2023-08-24,181.1199951171875,1.0,1.0
2023-08-25,176.3800048828125,1.0,1.0
2023-08-26,178.61000061035156,1.0,1.0
2023-08-27,178.61000061035156,1.0,1.0
2023-08-28,178.61000061035156,1.0,1.0
2023-08-29,180.19000244140625,1.0,1.0
2023-08-30,184.1199951171875,1.0,1.0
2023-08-31,187.6499938964844,1.0,1.0
2023-09-01,187.8699951171875,1.0,1.0
2023-09-02,189.4600067138672,1.0,1.0
2023-09-03,189.4600067138672,1.0,1.0
2023-09-04,189.4600067138672,1.0,1.0
2023-09-05,189.4600067138672,1.0,1.0
2023-09-06,189.6999969482422,1.0,1.0
2023-09-07,182.91000366210932,1.0,1.0
2023-09-08,177.55999755859375,1.0,1.0
2023-09-09,178.17999267578125,0.0,1.0
2023-09-10,178.17999267578125,0.0,1.0
2023-09-11,178.17999267578125,0.0,1.0
2023-09-12,179.36000061035156,0.0,1.0
2023-09-13,176.3000030517578,0.0,1.0
2023-09-14,174.2100067138672,0.0,1.0
2023-09-15,175.74000549316406,0.0,1.0
2023-09-16,175.00999450683594,0.0,1.0
2023-09-17,175.00999450683594,0.0,1.0
2023-09-18,175.00999450683594,0.0,0.0
2023-09-19,177.97000122070312,0.0,0.0
2023-09-20,179.07000732421875,0.0,0.0
2023-09-21,175.49000549316406,0.0,1.0
2023-09-22,173.92999267578125,0.0,1.0
2023-09-23,174.7899932861328,0.0,1.0
2023-09-24,174.7899932861328,0.0,1.0
2023-09-25,174.7899932861328,0.0,1.0
2023-09-26,176.0800018310547,0.0,1.0
2023-09-27,171.9600067138672,0.0,1.0
2023-09-28,170.42999267578125,0.0,1.0
2023-09-29,170.69000244140625,0.0,1.0
